Community	Community Rep	Rep degree	Community Size	subgraph	Rep Degree	mean_seq_len	longest_seqs	longest_len	shortest_seqs	shortest_len	prefix	_commu	community_track	IPRS	IPRS_Functions	DomainMapper_Ecod	DomainMapper_Functions
C688	UniRef100_A0A0M2V0M3	4	5	Subgraph_57	4	89.6	UniRef100_A0A0M2V0M3	94	UniRef100_A0A1G1D784	87	s	688	s_C688	NA	NA	NA	NA
C312	UniRef100_A0A5C7WTU8	2	3	Subgraph_92	2	730.6666666666666	UniRef100_A0A2S8KJB0	749	UniRef100_A0A1V3WNW9	701	sc	312	sc_C312	NA	NA	NA	NA
C313	UniRef100_A0A7G1ILF3	0	1	Subgraph_273	0	385.0	UniRef100_A0A7G1ILF3	385	UniRef100_A0A7G1ILF3	385	us	313	us_C313	NA	NA	NA	NA
C314	UniRef100_A0A7X7Y6U5	0	1	Subgraph_274	0	96.0	UniRef100_A0A7X7Y6U5	96	UniRef100_A0A7X7Y6U5	96	us	314	us_C314	NA	NA	NA	NA
C315	UniRef100_B7KAM4	0	1	Subgraph_275	0	169.0	UniRef100_B7KAM4	169	UniRef100_B7KAM4	169	us	315	us_C315	NA	NA	NA	NA
C319	UniRef100_A0A6A7YBS9	0	1	Subgraph_276	0	229.0	UniRef100_A0A6A7YBS9	229	UniRef100_A0A6A7YBS9	229	us	319	us_C319	NA	NA	NA	NA
C320	UniRef100_A0A0X8JQ54	12	13	Subgraph_24	12	142.6153846153846	UniRef100_A0A523A891	146	UniRef100_A0A840GDK3;UniRef100_A0A0X8JQ54	140	ubc	320	ubc_C320	NA	NA	NA	NA
C521	UniRef100_A0A366XQZ5	13	20	Subgraph_15	13	176.9	UniRef100_A0A1E5L599	181	UniRef100_A0A0R1VJZ2	169	ubc	521	ubc_C521	NA	NA	NA	NA
C321	UniRef100_A0A844JS58	3	4	Subgraph_74	3	149.5	UniRef100_A0A1C7HFJ1	155	UniRef100_A0A844JS58;UniRef100_E5YAK5	147	usc	321	usc_C321	NA	NA	NA	NA
C322	UniRef100_A0A162QP00	0	1	Subgraph_277	0	377.0	UniRef100_A0A162QP00	377	UniRef100_A0A162QP00	377	us	322	us_C322	NA	NA	NA	NA
C323	UniRef100_A0A2A5H7X1	0	1	Subgraph_278	0	729.0	UniRef100_A0A2A5H7X1	729	UniRef100_A0A2A5H7X1	729	us	323	us_C323	IPR039421;IPR036640;IPR011527;IPR027417;IPR003439;IPR003593	Type 1 protein exporter;ABC transporter type 1, transmembrane domain superfamily;ABC transporter type 1, transmembrane domain;P-loop containing nucleoside triphosphate hydrolase;ABC transporter-like, ATP-binding domain;AAA+ ATPase domain	1075.4.1.1;2004.1.1.1405	ABC_membrane;ABC_tran_1
C324	UniRef100_H6SLH7	0	1	Subgraph_279	0	154.0	UniRef100_H6SLH7	154	UniRef100_H6SLH7	154	us	324	us_C324	NA	NA	NA	NA
C326	UniRef100_A0A841V1V7	0	1	Subgraph_280	0	195.0	UniRef100_A0A841V1V7	195	UniRef100_A0A841V1V7	195	us	326	us_C326	NA	NA	NA	NA
C328	UniRef100_A0A3S0XPF3	0	1	Subgraph_281	0	385.0	UniRef100_A0A3S0XPF3	385	UniRef100_A0A3S0XPF3	385	us	328	us_C328	NA	NA	NA	NA
C331	UniRef100_Q8YVH2	12	17	Subgraph_18	12	383.3529411764706	UniRef100_A0A1Q4RP66	406	UniRef100_A0A1D2P5I6	359	bc	331	bc_C331	NA	NA	NA	NA
C333	UniRef100_E8LKR4	1	2	Subgraph_150	1	206.5	UniRef100_A0A348YNR4	212	UniRef100_E8LKR4	201	usc	333	usc_C333	NA	NA	NA	NA
C334	UniRef100_F3LQJ8	0	1	Subgraph_282	0	120.0	UniRef100_F3LQJ8	120	UniRef100_F3LQJ8	120	us	334	us_C334	NA	NA	NA	NA
C335	UniRef100_S9TUY7	0	1	Subgraph_283	0	96.0	UniRef100_S9TUY7	96	UniRef100_S9TUY7	96	us	335	us_C335	NA	NA	NA	NA
C340	UniRef100_A0A0B5DSA5	0	1	Subgraph_284	0	214.0	UniRef100_A0A0B5DSA5	214	UniRef100_A0A0B5DSA5	214	us	340	us_C340	NA	NA	NA	NA
C341	UniRef100_A0A6M0J010	18	23	Subgraph_7	18	207.69565217391303	UniRef100_A0A140K985	223	UniRef100_A0A2H2XPK7	181	bc	341	bc_C341	NA	NA	NA	NA
C386	UniRef100_A0A3L7UDA5	2	3	Subgraph_89	2	889.3333333333334	UniRef100_A0A2G4IY53	893	UniRef100_A0A3L7UDA5	884	s	386	s_C386	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C343	UniRef100_A0A661PMJ7	2	3	Subgraph_100	2	226.66666666666663	UniRef100_A0A0P7XXI7	246	UniRef100_A0A485CLF8	211	sc	343	sc_C343	NA	NA	NA	NA
C344	UniRef100_A0A4P2PVK5	4	5	Subgraph_61	4	201.0	UniRef100_A0A2L0ELU8	219	UniRef100_A0A4P2PVK5	194	ubc	344	ubc_C344	NA	NA	NA	NA
C369	UniRef100_A0A267MLA1	4	7	Subgraph_42	4	419.7142857142857	UniRef100_B9E3D7	437	UniRef100_A0A267MLA1	410	ubc	369	ubc_C369	NA	NA	NA	NA
C347	UniRef100_A0A356A0K3	0	1	Subgraph_285	0	99.0	UniRef100_A0A356A0K3	99	UniRef100_A0A356A0K3	99	us	347	us_C347	NA	NA	NA	NA
C349	UniRef100_V4JX42	0	1	Subgraph_286	0	87.0	UniRef100_V4JX42	87	UniRef100_V4JX42	87	us	349	us_C349	NA	NA	NA	NA
C350	UniRef100_A0A3L7V7Z7	0	1	Subgraph_287	0	884.0	UniRef100_A0A3L7V7Z7	884	UniRef100_A0A3L7V7Z7	884	us	350	us_C350			10.13.1.2	E1-E2_ATPase_N
C352	UniRef100_A0A7Y4FMF1	18	31	Subgraph_1	18	122.70967741935485	UniRef100_A0A5P9BCC1	134	UniRef100_A0A1M7YR86	117	ubc	352	ubc_C352	NA	NA	NA	NA
C97	UniRef100_A0A135YPH7	1	2	Subgraph_130	1	215.0	UniRef100_A0A135YPH7	216	UniRef100_B9E0R2	214	s	97	s_C97	NA	NA	NA	NA
C355	UniRef100_C9N0P4	0	1	Subgraph_288	0	100.0	UniRef100_C9N0P4	100	UniRef100_C9N0P4	100	us	355	us_C355	NA	NA	NA	NA
C356	UniRef100_M1R706	1	2	Subgraph_137	1	126.0	UniRef100_M1R706	128	UniRef100_A0A2N7Q3S9	124	usc	356	usc_C356	NA	NA	NA	NA
C357	UniRef100_A0A1Q4RFW8	1	2	Subgraph_141	1	84.5	UniRef100_A0A1Q4RFW8	87	UniRef100_A0A2H2XX78	82	usc	357	usc_C357	NA	NA	NA	NA
C358	UniRef100_A0A2W5ZGY9	0	1	Subgraph_289	0	130.0	UniRef100_A0A2W5ZGY9	130	UniRef100_A0A2W5ZGY9	130	us	358	us_C358	NA	NA	NA	NA
C359	UniRef100_A0A534QR19	0	1	Subgraph_290	0	143.0	UniRef100_A0A534QR19	143	UniRef100_A0A534QR19	143	us	359	us_C359	NA	NA	NA	NA
C363	UniRef100_A0A1Z4FYY9	0	1	Subgraph_291	0	354.0	UniRef100_A0A1Z4FYY9	354	UniRef100_A0A1Z4FYY9	354	us	363	us_C363	NA	NA	NA	NA
C364	UniRef100_A0A252CSE5	0	1	Subgraph_292	0	361.0	UniRef100_A0A252CSE5	361	UniRef100_A0A252CSE5	361	us	364	us_C364	NA	NA	NA	NA
C365	UniRef100_A0A1Z4QHN9	0	1	Subgraph_293	0	360.0	UniRef100_A0A1Z4QHN9	360	UniRef100_A0A1Z4QHN9	360	us	365	us_C365	NA	NA	NA	NA
C366	UniRef100_A0A3P1Y6T0	44	114	Subgraph_3	44	738.561403508772	UniRef100_A0A3R8T3J8	763	UniRef100_A0A421BFH3	714	bc	366	bc_C366_1	IPR027256;IPR001757;IPR023298;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, transmembrane domain superfamily;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C368	UniRef100_A0A1W9WRJ5	0	1	Subgraph_294	0	194.0	UniRef100_A0A1W9WRJ5	194	UniRef100_A0A1W9WRJ5	194	us	368	us_C368	IPR007634;IPR000394	RNA polymerase sigma factor 54, DNA-binding;RNA polymerase sigma factor 54	101.1.1.208	Sigma54_DBD_C
C370	UniRef100_A0A3N5GQ68	0	1	Subgraph_295	0	118.0	UniRef100_A0A3N5GQ68	118	UniRef100_A0A3N5GQ68	118	us	370	us_C370	NA	NA	NA	NA
C371	UniRef100_A0A2S6IG45	0	1	Subgraph_296	0	253.0	UniRef100_A0A2S6IG45	253	UniRef100_A0A2S6IG45	253	us	371	us_C371	IPR013762;IPR011010	Integrase-like, catalytic domain superfamily;DNA breaking-rejoining enzyme, catalytic core	101.1.8.39	Phage_integrase_N
C373	UniRef100_A0A844M8X7	2	3	Subgraph_102	2	253.66666666666663	UniRef100_A0A139WRM2	260	UniRef100_A0A844M8X7	247	s	373	s_C373	NA	NA	NA	NA
C374	UniRef100_F6DNI9	1	2	Subgraph_143	1	612.5	UniRef100_F6DNI9	633	UniRef100_K8DZT5	592	s	374	s_C374			5073.1.2.3	E1-E2_ATPase_C
C375	UniRef100_A0A5N0IP28	0	1	Subgraph_297	0	716.0	UniRef100_A0A5N0IP28	716	UniRef100_A0A5N0IP28	716	us	375	us_C375	IPR027256;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C376	UniRef100_K9R1H0	0	1	Subgraph_298	0	223.0	UniRef100_K9R1H0	223	UniRef100_K9R1H0	223	us	376	us_C376	NA	NA	NA	NA
C378	UniRef100_A3ZA64	2	3	Subgraph_104	2	722.3333333333334	UniRef100_A0A7G8FW55	731	UniRef100_A3ZA64	708	usc	378	usc_C378	IPR023214;IPR023299	HAD superfamily;P-type ATPase, cytoplasmic domain N		
C379	UniRef100_A0A3N5TUF0	0	1	Subgraph_299	0	176.0	UniRef100_A0A3N5TUF0	176	UniRef100_A0A3N5TUF0	176	us	379	us_C379	NA	NA	NA	NA
C380	UniRef100_A0A5C9CDL1	0	1	Subgraph_300	0	95.0	UniRef100_A0A5C9CDL1	95	UniRef100_A0A5C9CDL1	95	us	380	us_C380	NA	NA	NA	NA
C381	UniRef100_A0A193BV58	3	4	Subgraph_63	3	127.0	UniRef100_A0A0L0JGQ7	151	UniRef100_A0A193BV58	109	sc	381	sc_C381	NA	NA	NA	NA
C382	UniRef100_A0A499UNT7	1	2	Subgraph_156	1	634.0	UniRef100_A0A2P2FKV9	638	UniRef100_A0A499UNT7	630	usc	382	usc_C382	NA	NA	NA	NA
C383	UniRef100_A0A1A2TDQ2	1	2	Subgraph_147	1	236.5	UniRef100_A0A1A2TDQ2	257	UniRef100_X8CAT3	216	s	383	s_C383	NA	NA	NA	NA
C384	UniRef100_A0A7K2VGX2	0	1	Subgraph_301	0	464.0	UniRef100_A0A7K2VGX2	464	UniRef100_A0A7K2VGX2	464	us	384	us_C384	NA	NA	NA	NA
C385	UniRef100_A0A2K8T6C3	1	2	Subgraph_158	1	889.0	UniRef100_A0A0P4UT86	896	UniRef100_A0A2K8T6C3	882	s	385	s_C385	IPR027256;IPR001757;IPR008250;IPR023214;IPR044492;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;HAD superfamily;P-type ATPase, haloacid dehalogenase domain;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C390	UniRef100_A0A2T6DAZ6	0	1	Subgraph_302	0	882.0	UniRef100_A0A2T6DAZ6	882	UniRef100_A0A2T6DAZ6	882	us	390	us_C390	IPR008250;IPR023214;IPR036412	P-type ATPase, A domain superfamily;HAD superfamily;HAD-like superfamily	10.13.1.2;2006.1.1.42	E1-E2_ATPase_N;Hydrolase_3_1
C392	UniRef100_A0A4Q2WCG6	0	1	Subgraph_303	0	178.0	UniRef100_A0A4Q2WCG6	178	UniRef100_A0A4Q2WCG6	178	us	392	us_C392	NA	NA	NA	NA
C393	UniRef100_A0A1Z4FYZ0	43	62	Subgraph_2	43	186.9516129032258	UniRef100_A0A1U7HNL3	208	UniRef100_A0A2U3JXY9	168	ubc	393	ubc_C393	NA	NA	NA	NA
C394	UniRef100_V8C957	0	1	Subgraph_304	0	150.0	UniRef100_V8C957	150	UniRef100_V8C957	150	us	394	us_C394	NA	NA	NA	NA
C395	UniRef100_A0A351LBP5	1	2	Subgraph_148	1	548.5	UniRef100_A0A7X8EAT2	568	UniRef100_A0A351LBP5	529	s	395	s_C395	IPR023298;IPR004014;IPR008250;IPR001757;IPR023214;IPR023299	P-type ATPase, transmembrane domain superfamily;Cation-transporting P-type ATPase, N-terminal;P-type ATPase, A domain superfamily;P-type ATPase;HAD superfamily;P-type ATPase, cytoplasmic domain N	5073.1.1.14;10.13.1.2;267.1.1.3	Cation_ATPase_C;E1-E2_ATPase_N;Cation_ATPase
C397	UniRef100_A0A426D834	7	8	Subgraph_34	7	97.625	UniRef100_A0A0R1LPZ2	102	UniRef100_A0A426D834;UniRef100_A0A2R3JP28;UniRef100_A0A2K9I4N0;UniRef100_A0A5P8PXG9;UniRef100_A0A660DZS9;UniRef100_A0A0R2MQD0;UniRef100_A0A0R2NTP6	97	ubc	397	ubc_C397	NA	NA	NA	NA
C398	UniRef100_A0A7G1IPP6	0	1	Subgraph_305	0	486.0	UniRef100_A0A7G1IPP6	486	UniRef100_A0A7G1IPP6	486	us	398	us_C398	IPR009963;IPR001757;IPR008250	Protein of unknown function DUF1490;P-type ATPase;P-type ATPase, A domain superfamily	5073.1.2.3;10.13.1.2	E1-E2_ATPase_C;E1-E2_ATPase_N
C400	UniRef100_A0A6J4MP16	3	4	Subgraph_64	3	96.25	UniRef100_A0A6N6S4J2	110	UniRef100_A0A7C3KGX9	82	usc	400	usc_C400	NA	NA	NA	NA
C401	UniRef100_A0A800C618	0	1	Subgraph_306	0	471.0	UniRef100_A0A800C618	471	UniRef100_A0A800C618	471	us	401	us_C401	IPR023298;IPR004014;IPR008250;IPR001757;IPR023214	P-type ATPase, transmembrane domain superfamily;Cation-transporting P-type ATPase, N-terminal;P-type ATPase, A domain superfamily;P-type ATPase;HAD superfamily	5073.1.1.14;10.13.1.2	Cation_ATPase_C;E1-E2_ATPase_N
C403	UniRef100_A0A7X7GXE3	0	1	Subgraph_307	0	597.0	UniRef100_A0A7X7GXE3	597	UniRef100_A0A7X7GXE3	597	us	403	us_C403	NA	NA	NA	NA
C679	UniRef100_G2GPT8	3	4	Subgraph_75	3	502.25	UniRef100_A0A2A3HNA2	529	UniRef100_G2GPT8	488	s	679	s_C679	NA	NA	NA	NA
C405	UniRef100_A0A7U8UFE0	0	1	Subgraph_308	0	425.0	UniRef100_A0A7U8UFE0	425	UniRef100_A0A7U8UFE0	425	us	405	us_C405	NA	NA	NA	NA
C668	UniRef100_A0A0C2QKB5	7	8	Subgraph_39	7	421.75	UniRef100_A0A1Z4NNN6	451	UniRef100_A0A367QF88	411	s	668	s_C668	NA	NA	NA	NA
C409	UniRef100_A0A351KX86	2	3	Subgraph_93	2	325.0	UniRef100_A0A355DTY6	345	UniRef100_A0A351KX86	303	s	409	s_C409	NA	NA	NA	NA
C410	UniRef100_E0UKP8	2	3	Subgraph_105	2	522.0	UniRef100_B7KAL0	526	UniRef100_A0A1X9LDH0	518	usc	410	usc_C410	IPR023214	HAD superfamily		
C744	UniRef100_A0A096BD71	4	6	Subgraph_49	4	542.8333333333334	UniRef100_A0A6N7AI18	557	UniRef100_A0A096BD71	525	s	744	s_C744	IPR001757;IPR008250;IPR023214;IPR023299	P-type ATPase;P-type ATPase, A domain superfamily;HAD superfamily;P-type ATPase, cytoplasmic domain N	5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C412	UniRef100_A0A4P6K457	0	1	Subgraph_309	0	580.0	UniRef100_A0A4P6K457	580	UniRef100_A0A4P6K457	580	us	412	us_C412	NA	NA	NA	NA
C414	UniRef100_A0A2U3KEF7	0	1	Subgraph_310	0	135.0	UniRef100_A0A2U3KEF7	135	UniRef100_A0A2U3KEF7	135	us	414	us_C414	NA	NA	NA	NA
C578	UniRef100_G9WQM1	3	7	Subgraph_45	3	147.0	UniRef100_H1HU72	156	UniRef100_E6MDU5	139	ubc	578	ubc_C578	NA	NA	NA	NA
C415	UniRef100_C6WBS5	0	1	Subgraph_311	0	962.0	UniRef100_C6WBS5	962	UniRef100_C6WBS5	962	us	415	us_C415	IPR036640;IPR039421;IPR011527;IPR027417;IPR003439;IPR003593	ABC transporter type 1, transmembrane domain superfamily;Type 1 protein exporter;ABC transporter type 1, transmembrane domain;P-loop containing nucleoside triphosphate hydrolase;ABC transporter-like, ATP-binding domain;AAA+ ATPase domain	1075.4.1.1;2004.1.1.1405	ABC_membrane;ABC_tran_1
C420	UniRef100_A0A1A0MNQ6	0	1	Subgraph_312	0	1067.0	UniRef100_A0A1A0MNQ6	1067	UniRef100_A0A1A0MNQ6	1067	us	420	us_C420	IPR023298;IPR001757;IPR008250;IPR023214;IPR023299	P-type ATPase, transmembrane domain superfamily;P-type ATPase;P-type ATPase, A domain superfamily;HAD superfamily;P-type ATPase, cytoplasmic domain N	10.13.1.2;NA	E1-E2_ATPase_N;Cation_ATPase_C_1
C421	UniRef100_A0A4R4Z5X9	0	1	Subgraph_313	0	627.0	UniRef100_A0A4R4Z5X9	627	UniRef100_A0A4R4Z5X9	627	us	421	us_C421	NA	NA	NA	NA
C422	UniRef100_X8CK65	0	1	Subgraph_314	0	581.0	UniRef100_X8CK65	581	UniRef100_X8CK65	581	us	422	us_C422	NA	NA	NA	NA
C98	UniRef100_A0A0M0SKF3	12	13	Subgraph_22	12	1063.7692307692307	UniRef100_A0A0M0SKF3	1092	UniRef100_A0A0S8G388	1048	s	98	s_C98	IPR023298;IPR004014;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299;IPR006068	P-type ATPase, transmembrane domain superfamily;Cation-transporting P-type ATPase, N-terminal;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N;Cation-transporting P-type ATPase, C-terminal	5073.1.1.14;10.13.1.2;2006.1.1.42;267.1.1.3	Cation_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;Cation_ATPase
C81	UniRef100_A0A535A188	1	2	Subgraph_124	1	156.5	UniRef100_A0A534Q8S0	170	UniRef100_A0A535A188	143	s	81	s_C81	NA	NA	NA	NA
C444	UniRef100_A0A522V264	36	101	Subgraph_1	36	123.70297029702972	UniRef100_A0A1W6MZJ3	151	UniRef100_A0A1V5D475;UniRef100_A0A1H7WVI7;UniRef100_A0A3A4QG82	106	bc	444	bc_C444			304.3.1.7	HMA
C436	UniRef100_A0A1E4Q9P7	0	1	Subgraph_315	0	218.0	UniRef100_A0A1E4Q9P7	218	UniRef100_A0A1E4Q9P7	218	us	436	us_C436	NA	NA	NA	NA
C437	UniRef100_A0A1N7C237	78	185	Subgraph_1	78	111.55135135135136	UniRef100_A0A656HDN3	144	UniRef100_A0A7V1SLA8	96	bc	437	bc_C437	NA	NA	NA	NA
C438	UniRef100_A0A3D4XQL5	0	1	Subgraph_316	0	766.0	UniRef100_A0A3D4XQL5	766	UniRef100_A0A3D4XQL5	766	us	438	us_C438	IPR036163;IPR027256;IPR023298;IPR001757;IPR008250;IPR023214;IPR044492;IPR036412;IPR023299	Heavy metal-associated domain superfamily;P-type ATPase, subfamily IB;P-type ATPase, transmembrane domain superfamily;P-type ATPase;P-type ATPase, A domain superfamily;HAD superfamily;P-type ATPase, haloacid dehalogenase domain;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	304.3.1.7;5073.1.2.3;10.13.1.2;2006.1.1.42;267.1.1.5	HMA;E1-E2_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C439	UniRef100_A0A220XV70	0	1	Subgraph_317	0	420.0	UniRef100_A0A220XV70	420	UniRef100_A0A220XV70	420	us	439	us_C439	IPR044492;IPR001757;IPR023214;IPR036412;IPR023299	P-type ATPase, haloacid dehalogenase domain;P-type ATPase;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	2006.1.1.42;267.1.1.5	Hydrolase_3_1;P-type_ATPase_Cu-like
C442	UniRef100_A0A536VP09	1	2	Subgraph_160	1	704.5	UniRef100_A0A536VP09	705	UniRef100_A0A1D2SJF3	704	usc	442	usc_C442	NA	NA	NA	NA
C443	UniRef100_A0A6L3VMB7	0	1	Subgraph_318	0	587.0	UniRef100_A0A6L3VMB7	587	UniRef100_A0A6L3VMB7	587	us	443	us_C443	NA	NA	NA	NA
C447	UniRef100_A0A348RZ36	0	1	Subgraph_319	0	541.0	UniRef100_A0A348RZ36	541	UniRef100_A0A348RZ36	541	us	447	us_C447	IPR001757;IPR008250;IPR023214;IPR023299	P-type ATPase;P-type ATPase, A domain superfamily;HAD superfamily;P-type ATPase, cytoplasmic domain N	10.13.1.2;267.1.1.5	E1-E2_ATPase_N;P-type_ATPase_Cu-like
C448	UniRef100_E0U920	0	1	Subgraph_320	0	412.0	UniRef100_E0U920	412	UniRef100_E0U920	412	us	448	us_C448	NA	NA	NA	NA
C30	UniRef100_A0A7S9CS34	10	17	Subgraph_19	10	192.64705882352945	UniRef100_A0A1T4LGC5	210	UniRef100_A0A0K1PSQ0	169	ubc	30	ubc_C30	NA	NA	NA	NA
C449	UniRef100_A0A1A6FI36	0	1	Subgraph_321	0	166.0	UniRef100_A0A1A6FI36	166	UniRef100_A0A1A6FI36	166	us	449	us_C449	NA	NA	NA	NA
C480	UniRef100_A0A6N8DUB2	1	2	Subgraph_162	1	829.0	UniRef100_A0A6N8DUB2	842	UniRef100_A0A4Q9GK97	816	s	480	s_C480	IPR008250;IPR023214;IPR023299	P-type ATPase, A domain superfamily;HAD superfamily;P-type ATPase, cytoplasmic domain N	10.13.1.2	E1-E2_ATPase_N
C451	UniRef100_A0A496S899	0	1	Subgraph_322	0	172.0	UniRef100_A0A496S899	172	UniRef100_A0A496S899	172	us	451	us_C451	NA	NA	NA	NA
C452	UniRef100_A7NJI6	1	2	Subgraph_163	1	1183.5	UniRef100_A7NJI6	1186	UniRef100_A5URS6	1181	usc	452	usc_C452	IPR006068;IPR023298;IPR004014;IPR001757;IPR008250;IPR044492;IPR023214;IPR036412;IPR023299	Cation-transporting P-type ATPase, C-terminal;P-type ATPase, transmembrane domain superfamily;Cation-transporting P-type ATPase, N-terminal;P-type ATPase;P-type ATPase, A domain superfamily;P-type ATPase, haloacid dehalogenase domain;HAD superfamily;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	5073.1.1.14;10.13.1.2;2006.1.1.42;267.1.1.3	Cation_ATPase_C;E1-E2_ATPase_N;Hydrolase_3_1;Cation_ATPase
C454	UniRef100_A0A1H9WQ86	0	1	Subgraph_323	0	805.0	UniRef100_A0A1H9WQ86	805	UniRef100_A0A1H9WQ86	805	us	454	us_C454	IPR039421;IPR036640;IPR011527;IPR027417;IPR003439;IPR003593	Type 1 protein exporter;ABC transporter type 1, transmembrane domain superfamily;ABC transporter type 1, transmembrane domain;P-loop containing nucleoside triphosphate hydrolase;ABC transporter-like, ATP-binding domain;AAA+ ATPase domain	1075.4.1.1;2004.1.1.1405	ABC_membrane;ABC_tran_1
C455	UniRef100_A0A6G4WXH4	0	1	Subgraph_324	0	807.0	UniRef100_A0A6G4WXH4	807	UniRef100_A0A6G4WXH4	807	us	455	us_C455	IPR036640;IPR039421;IPR011527;IPR027417;IPR003439;IPR003593	ABC transporter type 1, transmembrane domain superfamily;Type 1 protein exporter;ABC transporter type 1, transmembrane domain;P-loop containing nucleoside triphosphate hydrolase;ABC transporter-like, ATP-binding domain;AAA+ ATPase domain	1075.4.1.1;2004.1.1.1405	ABC_membrane;ABC_tran_1
C249	UniRef100_A0A4S5JEV9	5	7	Subgraph_2	5	172.57142857142858	UniRef100_A0A3S4JTJ1	203	UniRef100_A0A4R3PSR9;UniRef100_A0A1L5NM04	158	sc	249	sc_C249	NA	NA	NA	NA
C462	UniRef100_R7I6S5	0	1	Subgraph_325	0	165.0	UniRef100_R7I6S5	165	UniRef100_R7I6S5	165	us	462	us_C462	NA	NA	NA	NA
C463	UniRef100_H8GBI8	0	1	Subgraph_326	0	271.0	UniRef100_H8GBI8	271	UniRef100_H8GBI8	271	us	463	us_C463	NA	NA	NA	NA
C464	UniRef100_A0A538ECB3	0	1	Subgraph_327	0	1020.0	UniRef100_A0A538ECB3	1020	UniRef100_A0A538ECB3	1020	us	464	us_C464	IPR023298;IPR001757;IPR008250;IPR023214;IPR023299	P-type ATPase, transmembrane domain superfamily;P-type ATPase;P-type ATPase, A domain superfamily;HAD superfamily;P-type ATPase, cytoplasmic domain N	10.13.1.2;5073.1.1.14	E1-E2_ATPase_N;Cation_ATPase_C
C465	UniRef100_E6MFM3	0	1	Subgraph_328	0	180.0	UniRef100_E6MFM3	180	UniRef100_E6MFM3	180	us	465	us_C465	NA	NA	NA	NA
C466	UniRef100_A0A139R805	0	1	Subgraph_329	0	106.0	UniRef100_A0A139R805	106	UniRef100_A0A139R805	106	us	466	us_C466	NA	NA	NA	NA
C467	UniRef100_A0A7K3GPY0	1	2	Subgraph_161	1	274.5	UniRef100_A0A7K2JHA3	283	UniRef100_A0A7K3GPY0	266	usc	467	usc_C467	NA	NA	NA	NA
C470	UniRef100_A0A0S3U895	0	1	Subgraph_330	0	900.0	UniRef100_A0A0S3U895	900	UniRef100_A0A0S3U895	900	us	470	us_C470	IPR027256;IPR001757;IPR008250;IPR023214;IPR044492;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;HAD superfamily;P-type ATPase, haloacid dehalogenase domain;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
C550	UniRef100_K8GFG5	3	5	Subgraph_51	3	918.0	UniRef100_A0A0X8WU27	923	UniRef100_A0A2N6KKA3	911	s	550	s_C550	IPR027256;IPR001757;IPR008250;IPR023214;IPR044492;IPR036412;IPR023299	P-type ATPase, subfamily IB;P-type ATPase;P-type ATPase, A domain superfamily;HAD superfamily;P-type ATPase, haloacid dehalogenase domain;HAD-like superfamily;P-type ATPase, cytoplasmic domain N	10.13.1.2;2006.1.1.42;267.1.1.5	E1-E2_ATPase_N;Hydrolase_3_1;P-type_ATPase_Cu-like
